All|All
Abnormality|Abnormality of body height
Multicystic|Multicystic kidney dysplasia
Multicystic|Multicystic dysplastic kidney
Multicystic|Multicystic kidneys
Multicystic|Multicystic renal dysplasia.
Onset|Onset and clinical course
Mode|Mode of inheritance
Inheritance|Inheritance
Autosomal|Autosomal dominant inheritance
Autosomal|Autosomal dominant
Autosomal|Autosomal recessive inheritance
Autosomal|Autosomal recessive
Abnormality|Abnormality of female internal genitalia
Functional|Functional abnormality of the bladder
Poor|Poor bladder function
Recurrent|Recurrent urinary tract infections
Frequent|Frequent urinary tract infections
Urinary|Urinary infection
Urinary|Urinary tract infection
Urinary|Urinary tract infections
Urinary|Urinary tract infections, recurrent
Neurogenic|Neurogenic bladder
Urinary|Urinary urgency
Hypoplasia|Hypoplasia of the uterus
Hypoplastic|Hypoplastic uterus
Rudimentary|Rudimentary uterus
Abnormality|Abnormality of the bladder
Bladder|Bladder diverticula
Urinary|Urinary retention
Nocturia|Nocturia
Nycturia|Nycturia
Urinary|Urinary hesitancy
Urinary|Urinary incontinence
Bladder|Bladder incontinence
Lower|Lower urinary tract dilatation
Abnormality|Abnormality of male internal genitalia
Inguinal|Inguinal hernia
Prostatitis|Prostatitis
Functional|Functional abnormality of male internal genitalia
Male|Male hypogonadism
Azoospermia|Azoospermia
Cryptorchidism|Cryptorchidism
Undescended|Undescended testes
Undescended|Undescended testis
Testicular|Testicular atrophy
Testicular|Testicular gonadoblastoma
Epididymitis|Epididymitis
Abnormality|Abnormality of male external genitalia
Ambiguous|Ambiguous genitalia, male
Ambiguous|Ambiguous genitalia in males
Hydrocele|Hydrocele testis
Testicular|Testicular hydrocele
Abnormality|Abnormality of the testis
Abnormality|Abnormality of the penis
Male|Male pseudohermaphroditism
Epispadias|Epispadias
Enlarged|Enlarged penis
Large|Large penis
Chordee|Chordee
Absent|Absent external genitalia
Hypogonadotrophic|Hypogonadotrophic hypogonadism
Hypogonadism,|Hypogonadism, hypogonadotropic
Abnormality|Abnormality of the scrotum
Scrotal|Scrotal hypoplasia
Hypoplastic|Hypoplastic scrotum
Hypospadias|Hypospadias
Bifid|Bifid scrotum
Shawl|Shawl scrotum
Overriding|Overriding scrotum
Hypoplastic|Hypoplastic genitalia
Perineal|Perineal hypospadias
Urethral|Urethral atresia, male
Macroorchidism|Macroorchidism
Micropenis|Micropenis
Microphallus|Microphallus
Short|Short penis
Small|Small penis
Abnormality|Abnormality of female external genitalia
Abnormality|Abnormality of the clitoris
Clitoromegaly|Clitoromegaly
Clitoral|Clitoral enlargement
Enlarged|Enlarged clitoris
Prominent|Prominent clitoris
Abnormality|Abnormality of the labia
Hypoplastic|Hypoplastic labia majora
Hypoplasia|Hypoplasia of labia majora
Small|Small labia majora
Clitoral|Clitoral hypoplasia
Hypoplastic|Hypoplastic clitoris
Small|Small clitoris
Ambiguous|Ambiguous genitalia, female
Ambiguous|Ambiguous genitalia
Ambiguous|Ambiguous external genitalia
Ambiguous|Ambiguous external genitalia at birth
Fused|Fused labia minora
Hypoplastic|Hypoplastic labia minora
Labial|Labial hypertrophy
Labial|Labial hypoplasia
Hypoplastic|Hypoplastic labia
Urethral|Urethral atresia, female
Urethral|Urethral atresia
Abnormality|Abnormality of the ureter
Abnormality|Abnormality of the ureters
Ureteral|Ureteral anomalies
Ureterocele|Ureterocele
Ureteral|Ureteral stenosis
Hydroureter|Hydroureter
Megaureter|Megaureter
Ureteral|Ureteral dilatation
Ureteral|Ureteral duplication
Double|Double ureter
Ureteropelvic|Ureteropelvic junction obstruction
Pelviureteric|Pelviureteric junction obstruction
Renal|Renal duplication
Vesicoureteral|Vesicoureteral reflux
Ureteral|Ureteral reflux
Ureteric|Ureteric reflux
Vesicoureteric|Vesicoureteric reflux
Abnormality|Abnormality of the kidney
Renal|Renal anomalies
Renal|Renal anomaly
Abnormality|Abnormality of the genital system
Genital|Genital abnormalities
Genital|Genital abnormality
Genital|Genital anomalies
Genital|Genital defects
Abnormality|Abnormality of the urinary system
Urinary|Urinary tract abnormalities
Urinary|Urinary tract abnormality
Urinary|Urinary tract anomalies
Abnormality|Abnormality of genital physiology
Genital|Genital functional abnormality
Duplicated|Duplicated collecting system
Double|Double collecting system
Double|Double urinary collecting systems on intravenous pyelography
Duplicated|Duplicated renal collecting system
Abnormality|Abnormality of renal physiology
Decreased|Decreased renal function
Impaired|Impaired renal function
Loss|Loss of renal function
Reduced|Reduced renal function
Renal|Renal dysfunction
Renal|Renal functional abnormality
Renal|Renal insufficiency
Renal|Renal failure
Renal|Renal failure in adulthood
Horseshoe|Horseshoe kidney
Horseshoe|Horseshoe kidneys
Ectopic|Ectopic kidney
Ectopic|Ectopic kidneys
Renal|Renal ectopia
Renal|Renal hypoplasia
Hypoplastic|Hypoplastic kidney
Hypoplastic|Hypoplastic kidneys
Small|Small kidneys
Nephronophthisis|Nephronophthisis
Abnormality|Abnormality of the renal tubule
Tubular|Tubular atrophy
Renal|Renal tubular cell atrophy
Proteinuria|Proteinuria
Morphological|Morphological abnormalities of the glomeruli
Glomerulosclerosis|Glomerulosclerosis
Focal|Focal segmental glomerulosclerosis
Focal|Focal and segmental glomerular sclerosis
Focal|Focal and segmental glomerulosclerosis
Tall|Tall stature
Accelerated|Accelerated linear growth
Increased|Increased body height
Increased|Increased linear growth
Glomerulonephritis|Glomerulonephritis
Glomrulonephritis|Glomrulonephritis
Nephrotic|Nephrotic syndrome
Nephrosis|Nephrosis
Polyuria|Polyuria
Renal|Renal agenesis
Absent|Absent kidney
Enlarged|Enlarged kidneys
Large|Large kidneys
Renal|Renal enlargement
Progressive|Progressive renal insufficiency
Progressive|Progressive renal failure
Renal|Renal insufficiency, progressive
Renal|Renal cysts
Renal|Renal corticomedullary cysts
Corticomedullary|Corticomedullary renal cysts
Renal|Renal corticomedullary cystic disease
Renal|Renal dysplasia
Dysplastic|Dysplastic kidneys
Renal|Renal juxtaglomerular cell hypertrophy/hyperplasia
Nephropathy|Nephropathy
Polycystic|Polycystic kidney dysplasia
Polycystic|Polycystic kidney disease
Polycystic|Polycystic kidneys
Proximal|Proximal tubulopathy
Proximal|Proximal renal tubule defect
Proximal|Proximal renal tubulopathy
Proximal|Proximal tubular defect
Proximal|Proximal tubule dysfunction
Decreased|Decreased renal tubular phosphate reabsorption
Decreased|Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate
Decreased|Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate (TMP/GFR)
Renal|Renal phosphate wasting
Tubular|Tubular phosphate reabsorption low
Phenotypic|Phenotypic abnormality
Organ|Organ abnormality
Abnormality|Abnormality of the genitourinary system
Genitourinary|Genitourinary abnormality
Genitourinary|Genitourinary tract anomalies
Urogenital|Urogenital abnormalities
Urogenital|Urogenital anomalies
Reduced|Reduced creatinine clearance
Impaired|Impaired renal creatinine clearance
Nephrocalcinosis|Nephrocalcinosis
Unilateral|Unilateral renal agenesis
Unilateral|Unilateral kidney agenesis
Nephritis|Nephritis
Renal|Renal tubular dysfunction
Renal|Renal tubular defect
